net,length_um
mgmt_buffers.mprj_dat_o_core\[19\],741.13
_10056_,740.47
net1769,740.28
_09975_,739.87
mgmt_buffers.la_data_out_core\[10\],739.62
net596,739.43
net1486,739.41
net1960,739.3
net1195,738.17
soc.core.bus_dat_r\[21\],737.94
net804,737.82
user_io_oeb\[35\],737.38
_09933_,737.3
net1938,736.45
net7,735.19
net1371,734.7
_09725_,734.39
net1788,734.36
net1741,733.09
mgmt_buffers.mprj_adr_o_core\[8\],732.44
net878,732.1
net774,731.97
soc.core.bus_dat_r\[22\],731.32
_05393_,730.8
net1085,729.8
net548,729.56
net995,729.34
_05291_,728.9
_10396_,728.83
soc.core.hk_dat_i\[12\],727.86
net1348,727.8
_15656_,726.77
net1351,726.47
soc.core.VexRiscv._zz_execute_SRC2\[15\],726.34
soc.core.sram.ram512x32.WEN\[2\],725.91
net669,725.8
_14534_,725.3
mask_rev\[31\],725.2
mgmt_buffers.mprj_dat_i_user\[11\],725.06
